date,state,city,school,longitude,latitude,link,iglink
March 14,North Dakota,Fargo,Davies High School,-96.816995,46.780784,https://actionnetwork.org/events/davies-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/255238032/davies-high-school/
March 14,North Dakota,Grand Forks,Grand Forks Central High School,-97.035077,47.9254958,https://actionnetwork.org/events/never-again-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/932066505/grand-forks-central-high-school/
March 14,North Dakota,Jamestown,Jamestown High School,-98.686903,46.9181235,https://actionnetwork.org/events/jhs-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/288521378/jamestown-high-school-north-dakota/
March 14,Ohio,Akron,Harvey S. Firestone Community Learning Center,,,https://www.facebook.com/events/166479427407511/,https://www.instagram.com/explore/locations/904865809681637/harvey-s-firestone-clc/
March 14,Ohio,Columbus,Ohio State University,-83.0309143,40.0141905,https://www.facebook.com/events/1015189101972389/,https://www.instagram.com/explore/locations/214700938/the-ohio-state-university/
March 14,Ohio,Logan,Logan High School,-82.3743442,39.5158569,https://www.facebook.com/events/596622900675131/,https://www.instagram.com/explore/locations/244034502/logan-high-school-ohio/
March 14,Ohio,Lorain,Lorain High School,-82.1904797,41.4465496,https://www.facebook.com/events/194226311176988/,https://www.instagram.com/explore/locations/309858578/lorain-catholic-high-school/
March 14,Oregon,Eugene,University of Oregon,-123.0726055,44.0448302,https://www.facebook.com/events/1817071381699936/,https://www.instagram.com/explore/locations/40979/university-of-oregon/
March 14,Oregon,Monmouth,Western Oregon University,-123.2409798,44.8536068,https://www.facebook.com/events/424361667985228/,https://www.instagram.com/explore/locations/288368361/western-oregon-university/
March 14,Oregon,Springfield,Springfield High School,-123.0158084,44.0535256,https://www.facebook.com/events/840810992786635/,https://www.instagram.com/explore/locations/1011548899/springfield-high-school-oregon/
March 14,Rhode Island,Bristol,Mt. Hope High School,-71.2692521,41.6877084,https://www.facebook.com/events/2042575069116791/,https://www.instagram.com/explore/locations/895397367/mt-hope-high-school/
March 14,South Dakota,Rapid City,EMPOWER Rapid City,-103.220957,44.0979824,https://actionnetwork.org/events/empowe-rapid-city?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/170608026/rapid-city-south-dakota/
March 14,Vermont,Enosburg Falls,Enosburg Falls Junior/Senior High School,-72.8039149,44.9053176,https://www.facebook.com/events/1929964460650703/,https://www.instagram.com/explore/locations/1015990270/enosburg-falls-juniorsenior-high-school/
March 14,Virginia,Charlottesville,University of Virginia,-78.5079772,38.0335529,https://www.facebook.com/events/1970456269941416/,https://www.instagram.com/explore/locations/213910390/university-of-virginia/
